key,f_alta,genero,edad,sucursal,div,num_ventas,sueldo_prom,antiguedad,num_trabajos_previos,edo_civil,experiencia,escolaridad,salario_diario_ant,num_dias,rotacion,dependientes,incremento
16334,03-Aug-15,1,27,SAN LUIS POTOSI,1,10,9945.9774,3,1,2,1,2,7600,112,1,2,0.3086812
16353,03-Aug-15,1,26,MONCLOVA,1,14,4285.2097,8,2,1,3,1,6171.2002,175,1,2,-0.3056116
16313,03-Aug-15,1,29,TORREON,1,1,196.9191,6,3,2,3,2,15929.6,38,1,3,-0.9876382
16338,03-Aug-15,1,24,MONTERREY MITRAS,1,17,8226.9049,1,0,2,3,2,1702.4,256,0,3,3.832533
16335,03-Aug-15,1,36,TLAXCALA,2,10,7242.4032,16,3,1,3,1,10427.2,109,1,1,-0.3054317
16357,03-Aug-15,2,51,BAJIO,1,3,1589.731,24,7,2,3,1,6748.7998,42,1,1,-0.7644424
16354,03-Aug-15,2,42,MONCLOVA,1,1,31.257,23,7,2,2,1,5502.3999,38,1,1,-0.9943194
16303,03-Aug-15,1,27,FRAY SERVANDO,2,8,4052.1575,5,1,1,1,1,7235.2002,109,1,2,-0.4399385
16345,03-Aug-15,1,33,TORREON COMARCA,1,3,471.66813,16,6,2,2,2,13528,28,1,3,-0.9651339
16360,03-Aug-15,2,38,CUERNAVACA MORELOS,2,15,6876.0399,22,8,1,2,1,7052.7998,121,1,1,-0.0250624
16336,03-Aug-15,2,23,CHAPALA,1,3,2514.6256,4,1,2,3,1,1672,63,1,3,0.5039627
16327,03-Aug-15,2,24,TLAXCALA,2,5,1111.8115,2,0,2,3,2,7296,77,1,3,-0.8476136
16339,03-Aug-15,1,31,PATRIOTISMO,2,20,16086.759,4,2,1,2,2,4712,172,1,1,2.413998
16343,03-Aug-15,1,40,SAN ANGEL,2,8,2698.1042,21,3,1,2,2,11278.4,80,1,2,-0.7607725
16361,03-Aug-15,2,47,CD. JUAREZ BARRANCAS,1,14,8232.6875,30,6,1,2,1,6080,389,0,1,0.3540604
16352,03-Aug-15,2,44,HERMOSILLO PITIC,1,19,11247.206,26,12,1,3,2,6779.2002,140,1,1,0.6590757
16321,03-Aug-15,1,31,MOLIERE,2,23,9523.6328,14,3,2,2,1,1064,626,0,2,7.950783
16332,03-Aug-15,2,35,SATELITE,2,3,1506.5874,16,4,1,2,1,13163.2,46,1,1,-0.8855455
16324,03-Aug-15,1,27,TLAXCALA,2,1,312.57,8,3,1,3,2,14592,72,1,1,-0.9785793
16356,03-Aug-15,2,37,COLIMA,1,15,3860.6146,21,4,1,3,2,9819.2002,249,0,1,-0.6068301
16315,03-Aug-15,2,29,SAN ANGEL,2,3,4060.2843,6,1,1,2,1,12828.8,67,1,1,-0.6835024
16331,03-Aug-15,2,26,SAN MARCOS,1,1,234.4275,6,1,2,2,1,3100.8,56,1,2,-0.9243978
16323,03-Aug-15,2,33,CUAUTITLAN,2,13,4031.8404,15,3,1,1,1,33105.602,84,1,2,-0.8782127
16346,03-Aug-15,1,55,CUERNAVACA MORELOS,2,14,7082.2736,38,20,1,2,2,121.6,389,0,1,57.24238
16304,03-Aug-15,2,26,CULIACAN HUMAYA,1,17,9525.0706,2,0,1,3,2,15412.8,157,1,1,-0.3820026
16358,03-Aug-15,2,24,BAJIO,1,2,330.07392,4,1,2,3,1,16416,72,1,2,-0.9798931
16359,03-Aug-15,2,28,CUAUTITLAN,2,6,4513.5108,10,2,1,2,2,7478.3999,87,1,1,-0.3964604
16314,03-Aug-15,2,27,TORREON,1,9,2021.7028,1,0,1,3,1,5198.3999,113,1,1,-0.6110913
16318,03-Aug-15,1,27,MONTERREY LEONES,1,11,8464.3956,9,1,2,3,2,5016,176,1,3,0.6874792
16309,03-Aug-15,2,28,ZACATECAS,1,2,625.45257,15,4,2,3,2,18635.199,49,1,1,-0.966437
16342,03-Aug-15,2,27,ESCANDON,2,17,18016.504,10,2,1,2,1,7752,525,0,1,1.32411
16347,03-Aug-15,2,42,TIJUANA PLAYAS,1,3,1268.4091,7,1,2,3,1,3161.6001,52,1,3,-0.5988079
16340,03-Aug-15,1,21,DURANGO,1,19,12334.7,4,1,2,2,1,15504,626,0,3,-0.2044182
16348,03-Aug-15,1,47,MONTERREY TECNOLOGICO,1,1,229.73895,27,4,1,3,1,516.79999,60,1,1,-0.5554587
16330,03-Aug-15,1,31,CUAUTITLAN,2,15,3335.0281,13,4,2,2,1,243.2,566,0,2,12.71311
16333,03-Aug-15,2,28,CULIACAN,1,1,703.2825,4,1,2,3,2,3131.2,94,1,3,-0.7753952
16302,03-Aug-15,2,44,ZACATECAS,1,26,11645.045,22,5,1,3,2,9940.7998,221,0,1,0.1714395
16299,03-Aug-15,1,32,TORREON COMARCA,1,1,62.514,11,2,1,3,1,820.79999,36,1,1,-0.9238377
16351,03-Aug-15,1,26,ZACATECAS,1,30,17261.678,5,1,1,3,2,6566.3999,626,0,1,1.628789
16301,03-Aug-15,1,27,COLIMA,1,6,2345.5253,6,1,2,3,2,13832,119,1,2,-0.8304276
16325,03-Aug-15,1,30,EJERCITO,2,1,46.8855,12,4,2,2,2,3860.8,183,0,2,-0.987856
16300,03-Aug-15,2,28,VALLE DORADO,2,8,4182.1866,6,1,1,2,2,1550.4,106,1,1,1.697489
16310,03-Aug-15,1,29,LINDAVISTA,2,19,21943.039,6,1,2,2,2,7934.3999,266,0,2,1.765558
16350,03-Aug-15,2,34,SAN MARCOS,1,3,2588.0796,18,4,1,3,2,7600,59,1,1,-0.6594632
16320,03-Aug-15,2,28,LINDAVISTA,2,6,5071.0732,9,2,2,2,1,2401.6001,168,1,1,1.111539
16308,03-Aug-15,1,28,EJERCITO,2,2,1884.7971,10,2,1,2,1,5928,60,1,1,-0.6820518
16344,03-Aug-15,1,34,CHAPALA,1,1,234.4275,11,3,1,3,1,26539.199,36,1,1,-0.9911668
16316,03-Aug-15,2,29,LINDAVISTA,2,13,10714.587,9,1,1,2,2,6080,91,1,1,0.7622676
16328,03-Aug-15,1,33,INTERLOMAS,2,16,9870.7731,14,3,2,2,1,1611.2,626,0,2,5.126349
16326,03-Aug-15,1,30,CUAUTITLAN,2,5,1794.1518,14,3,1,2,1,2705.6001,87,1,1,-0.3368747
16379,10-Aug-15,2,30,SEVILLA,2,12,4439.9318,10,2,1,2,2,486.39999,126,1,1,8.128149
16395,10-Aug-15,2,53,REYNOSA FRONTERA,1,14,7201.6128,28,7,1,3,2,6657.6001,93,1,1,0.081713
16378,10-Aug-15,2,37,MONTE ALBAN,2,4,1747.2663,23,4,1,3,2,2158.3999,65,1,1,-0.1904807
16432,10-Aug-15,1,36,TRADE CENTER,2,17,7713.4774,2,0,2,2,2,4590.3999,458,0,2,0.6803498
16362,10-Aug-15,1,29,MONTERREY SAN NICOLAS,1,9,12490.297,14,2,2,3,1,364.79999,183,0,3,33.23875
16406,10-Aug-15,1,26,TUXTLA GUTIERREZ,2,14,10408.268,8,2,2,3,2,15291.2,123,1,3,-0.3193295
16380,10-Aug-15,1,27,CD. JUAREZ BARRANCAS,1,2,562.626,10,3,2,1,2,881.59998,52,1,2,-0.3618126
16423,10-Aug-15,2,42,CHAPULTEPEC,2,6,2439.1713,23,7,2,2,2,13680,115,1,1,-0.821698
16402,10-Aug-15,1,27,TIJUANA INSURGENTES,1,1,234.4275,10,2,1,3,1,13497.6,53,1,1,-0.9826319
16422,10-Aug-15,2,42,CHAPULTEPEC,2,6,2439.1713,23,4,2,2,2,121.6,115,1,1,19.05898
16413,10-Aug-15,1,41,ILIADA METRO NORTE,2,2,312.57,26,6,1,2,1,29366.4,21,1,1,-0.9893562
16430,10-Aug-15,1,24,CD. JUAREZ BARRANCAS,1,4,1610.6732,6,1,2,3,1,18483.199,50,1,3,-0.9128575
16386,10-Aug-15,1,29,MEXICALI IMPERIAL,1,26,11570.841,11,2,1,2,2,6262.3999,619,0,2,0.8476689
16369,10-Aug-15,1,29,CONDESA,2,18,10035.591,10,2,2,2,2,4377.6001,252,0,2,1.292487
16405,10-Aug-15,1,38,TOREO,2,17,9446.7719,17,3,1,1,1,912,198,0,1,9.358302
16416,10-Aug-15,2,38,CRACOVIA,2,15,14076.465,18,8,1,1,2,3556.8,217,0,1,2.957621
16366,10-Aug-15,2,36,NOGALES,1,7,2139.5417,21,4,1,3,1,11521.6,88,1,1,-0.8143017
16185,10-Aug-15,1,26,TIJUANA CACHANILLA,1,5,586.38132,10,2,2,3,1,8724.7998,77,1,3,-0.9327914
16420,10-Aug-15,2,26,MEXICALI IMPERIAL,1,6,3746.1514,11,3,2,2,1,4347.2002,53,1,2,-0.1382611
16418,10-Aug-15,1,33,CELAYA,1,4,515.7405,16,2,2,3,1,121.6,56,1,2,3.241287
16439,10-Aug-15,2,33,NOGALES,1,3,602.94753,11,4,2,3,2,3040,45,1,1,-0.801662
16370,10-Aug-15,1,28,GUADALAJARA PATRIA,1,1,492.29775,7,1,2,3,1,5076.7998,53,1,3,-0.9030299
16368,10-Aug-15,2,28,LAS AGUILAS,2,22,11445.876,4,1,1,2,1,1945.6,592,0,1,4.882954
16365,10-Aug-15,2,30,VALLARTA,1,1,1093.995,13,2,1,3,2,5593.6001,38,1,1,-0.8044202
16398,10-Aug-15,1,31,PACHUCA,2,1,78.1425,15,4,1,1,2,8846.4004,30,1,1,-0.9911668
16389,10-Aug-15,2,33,TIJUANA INSURGENTES,1,1,125.65314,13,2,2,3,1,9089.5996,32,1,3,-0.9861762
16431,10-Aug-15,2,27,MONTERREY MITRAS,1,6,1605.6721,10,2,1,3,1,3100.8,59,1,1,-0.4821749
16411,10-Aug-15,1,46,POLANCO,2,3,4599.4676,25,4,1,2,1,9940.7998,50,1,1,-0.5373141
16394,10-Aug-15,1,35,CRONOS,2,11,7968.9721,16,5,2,2,2,7387.2002,151,1,1,0.0787541
16387,10-Aug-15,1,30,SAN JERONIMO,2,4,2856.8898,11,4,2,2,1,8116.7998,51,1,2,-0.6480275
16391,10-Aug-15,2,30,REYNOSA FRONTERA,1,1,109.3995,15,3,2,3,1,2188.8,45,1,1,-0.9500185
16364,10-Aug-15,1,30,GUADALAJARA PATRIA,1,11,5718.4056,11,3,1,3,1,6900.7998,168,1,1,-0.1713416
16410,10-Aug-15,2,26,MERIDA,2,18,5997.9057,7,3,1,3,1,3313.6001,619,0,1,0.8100874
16375,10-Aug-15,1,29,CONDESA,2,6,2632.4645,9,2,1,2,2,12099.2,88,1,2,-0.7824265
16400,10-Aug-15,1,23,MONCLOVA,1,2,537.30783,6,1,1,3,1,18787.199,108,1,1,-0.9714003
16377,10-Aug-15,2,27,MONTERREY SAN NICOLAS,1,15,13689.878,6,1,2,3,2,6596.7998,203,0,3,1.07523
16382,10-Aug-15,1,32,CHIMALISTAC,2,2,1297.1655,6,1,1,2,2,10792,109,1,1,-0.8798031
16363,10-Aug-15,2,36,SAN ANGEL,2,19,11055.788,20,7,2,2,2,14896,200,0,1,-0.2578015
16376,10-Aug-15,1,28,SEVILLA,2,3,2311.4551,8,1,1,2,1,7083.2002,81,1,1,-0.6736708
16397,10-Aug-15,2,26,CELAYA,1,3,1322.1711,6,1,2,3,2,1216,72,1,3,0.0873118
16393,10-Aug-15,2,39,TIJUANA RIO,1,10,9208.6248,22,4,2,3,1,7083.2002,123,1,3,0.3000656
16412,10-Aug-15,1,46,MERIDA MONTEJO,2,1,156.285,20,3,1,3,2,12585.6,46,1,1,-0.9875822
16399,10-Aug-15,1,50,MERIDA,2,16,9294.0814,31,6,1,3,1,17297.6,619,0,1,-0.4626953
16408,10-Aug-15,2,28,TUXTLA GUTIERREZ,2,7,741.10347,10,2,2,3,1,10123.2,45,1,3,-0.9267916
16436,10-Aug-15,2,35,TOREO,2,9,5587.1888,18,5,2,2,1,2614.3999,92,1,1,1.137083
16417,10-Aug-15,1,30,MONTERREY SANTA LUCIA,1,13,12836.625,13,3,1,3,1,1641.6,85,1,1,6.819582
16419,10-Aug-15,1,33,CELAYA,1,4,515.7405,16,3,2,3,1,10974.4,56,1,2,-0.9530051
16426,10-Aug-15,2,25,VALLARTA,1,1,393.8382,8,2,1,3,2,10396.8,38,1,1,-0.9621193
16425,10-Aug-15,1,29,VIADUCTO,2,2,500.112,9,4,2,1,1,10731.2,70,1,2,-0.9533964
16424,10-Aug-15,1,29,ILIADA METRO NORTE,2,3,389.14965,9,2,2,2,2,8177.6001,45,1,2,-0.9524127
16414,10-Aug-15,1,35,VALLE DORADO,2,12,8313.4243,20,4,1,2,1,1185.6,130,1,1,6.011998
16371,10-Aug-15,1,44,CD. JUAREZ ATLANTIS,1,3,1816.0317,26,11,1,3,2,7356.7998,49,1,1,-0.7531492
16373,10-Aug-15,1,28,CHAPULTEPEC,2,17,8509.6557,9,2,1,2,1,2918.3999,184,0,1,1.915864
16429,10-Aug-15,1,29,TORREON COMARCA,1,16,5130.8991,6,1,1,3,2,8998.4004,253,0,1,-0.4297988
16435,10-Aug-15,1,27,MONTERREY LAS TORRES,1,4,1226.8373,7,2,2,3,1,3252.8,60,1,3,-0.6228366
16374,10-Aug-15,2,30,SOTELO,2,11,5414.025,9,1,2,2,2,4742.3999,143,1,2,0.1416214
16428,10-Aug-15,2,25,CD. JUAREZ BARRANCAS,1,17,17356.449,6,3,1,3,2,1884.8,305,0,1,8.208642
16384,10-Aug-15,2,26,TIJUANA INSURGENTES,1,3,1336.2368,2,0,2,3,2,7660.7998,35,1,2,-0.8255748
16415,10-Aug-15,1,49,GUADALAJARA AJIJIC,1,1,156.285,27,6,1,3,2,2766.3999,49,1,1,-0.943506
16404,10-Aug-15,1,32,PACHUCA,2,22,14961.788,1,0,1,1,2,2523.2,340,0,2,4.929688
16403,10-Aug-15,1,29,MERIDA,2,1,393.8382,7,3,2,3,2,4620.7998,43,1,3,-0.9147684
16388,10-Aug-15,2,29,CHAPULTEPEC,2,2,1484.7075,9,5,1,2,2,9576,57,1,1,-0.8449554
16381,10-Aug-15,1,31,CRACOVIA,2,5,3424.8295,10,3,2,2,2,7478.3999,91,1,2,-0.5420371
16396,10-Aug-15,1,29,MERIDA,2,1,12.5028,6,1,2,3,1,4590.3999,77,1,3,-0.9972763
16401,10-Aug-15,2,27,CELAYA,1,5,2273.9468,6,2,1,3,1,3161.6001,92,1,1,-0.2807608
16433,10-Aug-15,1,33,INTERLOMAS,2,13,11250.176,14,2,2,2,2,9332.7998,189,0,1,0.2054449
16367,10-Aug-15,1,29,CD. JUAREZ ATLANTIS,1,1,78.1425,10,2,2,3,1,4134.3999,15,1,1,-0.9810994
16427,10-Aug-15,1,33,SAN LUIS POTOSI,1,3,2119.2246,15,2,2,3,1,182.39999,105,1,2,10.61856
16385,10-Aug-15,1,32,MONTE ALBAN,2,16,12144.907,11,4,1,3,2,13406.4,123,1,1,-0.0940963
16434,10-Aug-15,2,54,SALTILLO MONTERREAL,1,1,156.285,32,4,2,3,2,3131.2,28,1,2,-0.9500878
16421,10-Aug-15,1,28,COUNTRY CLUB,1,1,182.85345,0,0,1,3,2,4772.7998,39,1,1,-0.9616885
16407,10-Aug-15,1,38,SAN LUIS POTOSI,1,14,6663.8049,19,3,1,3,1,16932.801,217,0,2,-0.6064559
16383,10-Aug-15,2,54,REYNOSA FRONTERA,1,13,11523.862,31,6,1,3,2,6505.6001,329,0,1,0.7713757
16372,10-Aug-15,2,29,MONTERREY CUMBRES,1,7,4412.8633,7,2,2,3,1,15382.4,74,1,2,-0.7131226
16390,10-Aug-15,1,38,MONTERREY LAS TORRES,1,2,93.771,22,4,1,3,1,7660.7998,23,1,1,-0.9877596
16438,10-Aug-15,1,28,TAMPICO ALTAMIRA,1,1,203.1705,11,4,2,3,1,1094.4,39,1,3,-0.8143544
16445,17-Aug-15,1,33,CRONOS,2,18,5849.4975,13,3,1,2,2,6657.6001,385,0,1,-0.1213805
16478,17-Aug-15,2,46,QUERETARO ARCOS,1,6,4985.4915,19,3,1,3,2,4499.2002,88,1,1,0.1080839
16506,17-Aug-15,1,33,QUERETARO ACUEDUCTO,1,39,14264.445,4,2,1,3,1,12220.8,612,0,1,0.1672268
16470,17-Aug-15,2,35,QUERETARO,1,6,1564.1003,12,2,2,3,1,7600,193,0,1,-0.7941973
16468,17-Aug-15,2,42,SALTILLO MONTERREAL,1,2,343.827,21,4,2,3,2,699.20001,17,1,1,-0.5082566
16447,17-Aug-15,1,28,XOLA,2,4,3272.6079,8,2,1,2,1,10214.4,84,1,1,-0.6796084
