"ï..key","f_alta","genero","edad","sucursal","div","num_ventas","sueldo_prom","antiguedad","num_trabajos_previos","edo_civil","experiencia","escolaridad","salario_diario_ant","num_dias","rotacion","dependientes","incremento","mes"
17314,"30-Nov-15",1,33,"MONTERREY CUMBRES",1,1,827.06022,15,3,2,2,2,1428.8,79,1,1,0.5788495,11
17315,"30-Nov-15",1,29,"CULIACAN",1,10,2807.6288,11,5,1,2,2,9788.7998,136,1,1,0.2868205,11
17318,"30-Nov-15",0,23,"MONTERREY FUNDIDORA",1,2,876.69634,2,1,2,2,1,6627.2002,85,1,3,0.1322876,11
17319,"30-Nov-15",1,27,"TULUM",2,6,2102.2208,10,1,2,2,2,7204.7998,88,1,3,0.2917806,11
17320,"30-Nov-15",0,29,"REYNOSA FRONTERA",1,2,1234.7765,10,3,1,2,1,11156.8,64,1,1,0.1106748,11
17321,"30-Nov-15",1,39,"VERACRUZ",2,17,3352.3758,24,5,1,2,1,9758.4004,192,0,1,0.3435374,11
17322,"30-Nov-15",1,30,"SAN ANGEL",2,14,8807.3474,12,2,1,1,2,6475.2002,193,0,1,1.360166,11
17323,"30-Nov-15",0,39,"MONTERREY CENTRO",1,1,260.68338,23,9,2,2,1,547.20001,73,1,1,0.476395,11
17324,"30-Nov-15",0,25,"JUAREZ PASO DEL NORTE",1,19,13444.761,8,2,2,1,1,5624,423,0,3,2.390605,11
17325,"30-Nov-15",0,36,"CANCUN",2,4,358.83036,20,4,1,2,2,6140.7998,142,1,1,0.0584338,11
17326,"30-Nov-15",1,22,"JUAREZ CHAMIZAL",1,2,1162.1353,5,1,1,2,2,17358.4,44,1,1,0.0669494,11
17327,"30-Nov-15",1,27,"GUADALAJARA CENTRO",1,2,761.42052,1,0,2,2,2,17966.4,88,1,3,0.0423802,11
17328,"30-Nov-15",0,32,"TLAXCALA",2,9,2696.3538,6,1,2,2,2,3465.6001,151,1,1,0.7780337,11
17329,"30-Nov-15",0,26,"COATZACOALCOS",2,7,1705.2569,4,2,2,2,2,5259.2002,119,1,3,0.3242426,11
17330,"30-Nov-15",1,33,"TORREON",1,8,3113.6973,19,4,1,2,1,3769.6001,151,1,1,0.826002,11
17331,"30-Nov-15",0,32,"NOGALES",1,18,5163.7814,17,2,1,1,1,1641.6,295,0,1,3.145578,11
17332,"30-Nov-15",0,46,"PUERTO",2,3,5909.4484,30,7,2,1,2,11582.4,49,1,1,0.5102093,11
17333,"30-Nov-15",1,27,"MATAMOROS",1,1,187.542,15,3,1,2,1,14744,78,1,1,0.0127199,11
17336,"07-Dec-15",0,32,"SLP TANGAMANGA",1,7,1841.4124,15,6,1,2,1,3435.2,116,1,1,0.5360423,12
17337,"07-Dec-15",1,27,"MORELIA MONARCA",1,4,296.81647,9,2,2,2,2,10366.4,112,1,1,0.0286325,12
17338,"07-Dec-15",0,32,"SOTELO",2,20,12688.091,13,2,1,1,2,851.20001,391,0,1,14.90612,12
17339,"07-Dec-15",0,32,"PREVISION",2,20,12688.091,13,2,1,1,2,851.20001,391,0,1,14.90612,12
17340,"07-Dec-15",0,32,"SOTELO",2,20,12688.091,13,2,1,1,2,851.20001,391,0,1,14.90612,12
17341,"07-Dec-15",0,32,"PREVISION",2,20,12688.091,13,2,1,1,2,851.20001,391,0,1,14.90612,12
17342,"07-Dec-15",1,41,"GRIJALVA",2,16,5228.671,23,5,1,2,1,4499.2002,500,0,1,1.162133,12
17343,"07-Dec-15",0,29,"FRAY SERVANDO",2,20,15478.591,7,1,1,1,1,3496,500,0,1,4.427515,12
17344,"07-Dec-15",1,37,"LAS AGUILAS",2,21,6999.5676,19,3,1,1,2,2979.2,193,0,1,2.349479,12
17345,"07-Dec-15",1,43,"TAMPICO",1,1,188.79228,24,9,2,2,1,5988.7998,59,1,3,0.0315242,12
17346,"07-Dec-15",0,35,"PACHUCA",2,9,3130.326,20,6,1,1,2,3587.2,101,1,1,0.8726377,12
17347,"07-Dec-15",1,27,"TAMPICO",1,16,7567.5698,5,1,2,2,2,1945.6,263,0,3,3.889581,12
17348,"07-Dec-15",1,33,"ZACATECAS",1,4,2848.763,5,1,1,2,2,608,60,1,1,4.685465,12
17349,"07-Dec-15",0,46,"SLP TANGAMANGA",1,1,320.94688,27,9,2,2,1,5836.7998,99,1,1,0.0549868,12
17350,"07-Dec-15",1,30,"COUNTRY CLUB",1,11,2453.9246,12,4,1,2,1,3739.2,88,1,1,0.65627,12
17351,"07-Dec-15",0,24,"COUNTRY CLUB",1,2,1575.1027,1,0,1,2,1,11035.2,50,1,1,0.1427344,12
17352,"07-Dec-15",0,31,"HERMOSILLO PITIC",1,19,9048.2764,16,3,1,1,2,1124.8,221,0,1,8.044342,12
17354,"07-Dec-15",0,29,"TAMPICO",1,1,670.15008,5,2,2,2,1,9849.5996,64,1,3,0.0680383,12
17356,"07-Dec-15",1,29,"CUAUTITLAN",2,13,6769.6411,6,1,1,1,2,2249.6001,137,1,2,3.009264,12
17357,"07-Dec-15",0,25,"CUAUTITLAN",2,18,9111.2905,6,1,1,1,1,2158.3999,500,0,1,4.221317,12
17358,"07-Dec-15",0,26,"COUNTRY CLUB",1,4,778.79941,5,1,2,2,2,10336,63,1,3,0.0753482,12
17359,"07-Dec-15",0,40,"SATELITE",2,3,1515.4644,14,4,1,1,1,9697.5996,73,1,1,0.1562721,12
17361,"07-Dec-15",0,31,"TAMPICO",1,14,4007.6475,11,1,2,1,1,6049.6001,500,0,3,0.6624649,12
17362,"07-Dec-15",1,34,"MONTERREY VOLCAN",1,2,464.47902,18,5,2,2,1,2371.2,122,1,3,0.1958835,12
17364,"07-Dec-15",1,28,"GRIJALVA",2,5,454.85186,9,2,2,2,2,3617.6001,84,1,3,0.125733,12
17366,"07-Dec-15",1,25,"CD. JUAREZ BARRANCAS",1,17,19629.146,3,1,1,2,2,32710.4,291,0,1,0.6000888,12
17368,"07-Dec-15",0,25,"CORREGIDORA",1,1,61.013664,2,0,2,2,2,5380.7998,101,1,3,0.0113391,12
