"","key","f_alta","genero","edad","sucursal","div","num_ventas","sueldo_prom","antigüedad","num_trabajos_previos","edo_civil","experiencia","escolaridad","salario_diario_ant","num_dias","rotacion","dependientes","incremento","antiguedad","grupo_edad","grupo_sueldo"
"64",14026,"12-Jan-15",1,47,"TRADE CENTER",2,2,1406.565,NA,NA,NA,NA,NA,NA,51,0,NA,NA,NA,2,1
"65",14027,"12-Jan-15",1,30,"CUAUTITLAN",2,11,5419.7242,14,2,NA,NA,NA,3192,73,0,NA,1.697909,14,2,2
"66",14030,"12-Jan-15",1,57,"LEON",1,20,17536.714,36,7,NA,NA,NA,1732.8,442,1,NA,10.12045,36,3,3
"67",14031,"12-Jan-15",0,34,"CELAYA",1,29,11130.279,2,0,NA,NA,NA,5593.6001,476,1,NA,1.989824,2,2,3
"68",14032,"12-Jan-15",0,55,"MORELIA MONARCA",1,19,9864.579,29,12,NA,NA,NA,17632,829,1,NA,0.5594702,29,3,2
"69",14033,"12-Jan-15",0,32,"DURANGO",1,16,2850.0133,7,2,NA,NA,NA,5836.7998,115,0,NA,0.4882835,7,2,2
"70",14034,"12-Jan-15",1,43,"JUAREZ PASO DEL NORTE",1,26,10393.89,29,4,NA,NA,NA,25779.199,391,1,NA,0.403189,29,2,3
"71",14035,"12-Jan-15",0,50,"NICOLAS BRAVO",2,21,17882.182,NA,NA,NA,NA,NA,NA,574,1,NA,NA,NA,3,3
"72",14036,"12-Jan-15",0,50,"TULUM",2,19,13847.32,22,6,NA,NA,NA,11217.6,829,1,NA,1.234428,22,3,3
"73",14037,"19-Jan-15",0,32,"LEON",1,5,1406.565,11,4,NA,NA,NA,9819.2002,49,0,NA,0.1432464,11,2,1
"74",14038,"19-Jan-15",1,41,"HERMOSILLO PITIC",1,13,8238.7461,20,3,NA,NA,NA,2036.8,94,0,NA,4.044946,20,2,2
"75",14039,"19-Jan-15",1,36,"SAN LUIS POTOSI",1,5,2763.8481,NA,NA,NA,NA,NA,NA,45,0,NA,NA,NA,2,2
"76",14040,"19-Jan-15",1,26,"PERINORTE",2,2,2917.32,7,1,NA,NA,NA,11612.8,24,0,NA,0.2512159,7,1,2
"77",14041,"19-Jan-15",0,25,"TOLUCA LERMA",2,12,7284.1052,3,1,NA,NA,NA,456,119,0,NA,15.97392,3,1,2
"78",14042,"19-Jan-15",0,41,"MONTERREY SAN NICOLAS",1,10,10064.91,13,2,NA,NA,NA,608,234,1,NA,16.55413,13,2,3
"79",14043,"19-Jan-15",0,24,"CHIHUAHUA VILLA",1,24,9649.4787,6,1,NA,NA,NA,364.79999,618,1,NA,26.45142,6,1,2
"80",14044,"19-Jan-15",1,27,"MONTERREY VALLE ALTO",1,26,16419.068,12,2,NA,NA,NA,1763.2,210,1,NA,9.312085,12,1,3
"81",14045,"19-Jan-15",0,40,"HERMOSILLO PITIC",1,20,6551.8788,24,6,NA,NA,NA,13406.4,168,0,NA,0.4887128,24,2,2
"82",14046,"19-Jan-15",0,36,"LA PAZ",1,23,8822.7311,18,5,NA,NA,NA,4590.3999,822,1,NA,1.921996,18,2,2
"83",14047,"19-Jan-15",1,57,"CHIHUAHUA PARRAL",1,6,7449.585,NA,NA,NA,NA,NA,NA,37,0,NA,NA,NA,3,2
"84",14048,"19-Jan-15",1,33,NA,1,2,1192.9755,13,3,NA,NA,NA,14622.4,57,0,NA,0.0815855,13,2,1
"85",14049,"19-Jan-15",1,29,"PRADO CHURUBUSCO",2,19,17247.17,10,1,NA,NA,NA,2280,529,1,NA,7.564548,10,2,3
"86",14050,"19-Jan-15",1,33,"PUEBLA LA NORIA",2,16,8129.3987,16,3,NA,NA,NA,4681.6001,142,0,NA,1.736457,16,2,2
"87",14051,"19-Jan-15",1,34,"CHIHUAHUA",1,6,2288.0124,NA,NA,NA,NA,NA,NA,44,0,NA,NA,NA,2,2
"88",14052,"19-Jan-15",0,37,"TORREON COMARCA",1,4,2422.4956,NA,NA,NA,NA,NA,NA,50,0,NA,NA,NA,2,2
"89",14053,"19-Jan-15",1,40,"CUERNAVACA",2,30,14204.087,11,2,NA,NA,NA,6992,217,1,NA,2.031477,11,2,3
"90",14054,"19-Jan-15",1,27,"FRAY SERVANDO",2,10,5681.4026,0,0,NA,NA,NA,942.40002,77,0,NA,6.028653,0,1,2
"91",14055,"19-Jan-15",1,38,"NAUCALPAN",2,3,1617.2632,NA,NA,NA,NA,NA,NA,36,0,NA,NA,NA,2,1
"92",14056,"19-Jan-15",0,34,"TLAXCALA",2,2,685.5702,14,3,NA,NA,NA,4377.6001,45,0,NA,0.1566087,14,2,1
"93",14057,"19-Jan-15",0,32,"CANCUN",2,21,11117.021,14,3,NA,NA,NA,6353.6001,274,1,NA,1.74972,14,2,3
"94",14058,"19-Jan-15",0,28,"TIJUANA INSURGENTES",1,3,1043.9317,4,1,NA,NA,NA,15412.8,38,0,NA,0.0677315,4,2,1
"95",14059,"19-Jan-15",0,48,"MORELIA MONARCA",1,1,226.61325,NA,NA,NA,NA,NA,NA,65,0,NA,NA,NA,3,1
"96",14060,"19-Jan-15",1,33,"CANCUN",2,28,13457.962,13,4,NA,NA,NA,2158.3999,632,1,NA,6.235157,13,2,3
"97",14061,"19-Jan-15",1,30,"CD. OBREGON",1,2,1565.8976,15,4,NA,NA,NA,2006.4,43,0,NA,0.7804513,15,2,1
"98",14062,"19-Jan-15",0,26,"PACHUCA",2,4,5916.1947,5,2,NA,NA,NA,8147.2002,72,0,NA,0.7261629,5,1,2
"99",14063,"19-Jan-15",1,25,"ROMA",2,12,4376.4749,4,1,NA,NA,NA,4043.2,112,0,NA,1.082428,4,1,2
"100",14064,"19-Jan-15",1,34,"GUANAJUATO",1,14,5875.1439,15,5,NA,NA,NA,5046.3999,58,0,NA,1.164225,15,2,2
"101",14065,"19-Jan-15",0,26,"TIJUANA PLAYAS",1,16,6600.697,8,3,NA,NA,NA,8572.7998,413,1,NA,0.7699581,8,1,2
"102",14066,"19-Jan-15",1,50,"CHIHUAHUA PARRAL",1,21,7656.3344,31,6,NA,NA,NA,4043.2,267,1,NA,1.893632,31,3,2
