key,f_alta,genero,edad,sucursal,div,num_ventas,sueldo_prom,antigüedad,num_trabajos_previos,edo_civil,experiencia,escolaridad,salario_diario_ant,num_dias,target
14164,26-Jan-15,1,29,MONTERREY CHIPINQUE,1,30,22860.901,13,2.1024884,NA,NA,NA,1087,360,1
14165,26-Jan-15,1,44,GRIJALVA,2,3,1372.3907,30,9.7580363,NA,NA,NA,189,24,0
14166,26-Jan-15,1,34,MONTERREY SANTA LUCIA,1,14,2424.6784,16,2.6768506,NA,NA,NA,108,183,1
14167,26-Jan-15,1,26,INTERLOMAS,2,2,167.39165,8,2.0243647,NA,NA,NA,242,59,0
14168,26-Jan-15,1,26,INTERLOMAS,2,2,167.39165,8,2.1624839,NA,NA,NA,29,59,0
14169,26-Jan-15,0,31,ROMA,2,8,6136.5305,12,1.5093518,NA,NA,NA,581,116,0
14170,26-Jan-15,1,26,ALTAVISTA,2,21,11206.52,10,3.3930836,NA,NA,NA,286,143,0
14171,26-Jan-15,0,40,DURANGO,1,28,12728.179,12,3.3788928,NA,NA,NA,13,228,1
14172,26-Jan-15,1,34,NA,1,6,1004.2353,15,1.8235944,NA,NA,NA,127,101,0
14173,26-Jan-15,0,27,MONTERREY FUNDIDORA,1,7,1614.2365,9,3.490943,NA,NA,NA,279,134,0
14174,26-Jan-15,0,24,TAMPICO ALTAMIRA,1,28,13291.154,4,0.72289304,NA,NA,NA,408,228,1
14175,26-Jan-15,1,29,TUXTLA GUTIERREZ,2,3,2067.2859,6,2.1692331,NA,NA,NA,37,88,0
14176,26-Jan-15,1,29,JUAREZ PASO DEL NORTE,1,3,2144.8085,7,2.7946229,NA,NA,NA,147,43,0
14177,26-Jan-15,1,27,NAPOLES,2,5,2272.6183,7,1.8073839,NA,NA,NA,0,42,0
14178,26-Jan-15,1,38,CD. JUAREZ BARRANCAS,1,6,1900.5298,,,NA,NA,NA,,43,0
14179,26-Jan-15,1,35,TAMPICO ALTAMIRA,1,7,3054.434,17,2.4715936,NA,NA,NA,41,70,0
14180,26-Jan-15,0,26,SANTA TERESA,2,7,4439.6661,0,0,NA,NA,NA,427,116,0
14181,26-Jan-15,1,34,REYNOSA FRONTERA,1,23,9581.8073,20,4.3355928,NA,NA,NA,197,147,0
14182,26-Jan-15,0,30,CHIHUAHUA,1,5,2581.7657,9,1.5500052,NA,NA,NA,460,80,0
14183,26-Jan-15,0,31,SAN LUIS POTOSI,1,4,906.453,9,1.3925322,NA,NA,NA,77,70,0
14184,26-Jan-15,1,32,TRADE CENTER,2,4,3841.5374,,,NA,NA,NA,,44,0
14185,26-Jan-15,0,24,JALISCO,1,3,1439.7495,,,NA,NA,NA,,25,0
